profile_image,name,email,phone_number,address,birthday,website,labels,company,position
https://contents.nextunicorn.kr/company/716e55390c31c06b/profile-3280181420bd2bdea2e633e821b5afef25f5.png,Steaven1,medikim3551@gmail.com,010-6811-3551,Korean Jeju,1991-10-22,https://www.kidsnote.com/,labels,KidsNote,Senior
https://contents.nextunicorn.kr/company/716e55390c31c06b/profile-3280181420bd2bdea2e633e821b5afef25f6.png,Steaven2,medikim3552@gmail.com,010-6811-3552,Korean Jeju,1991-10-23,https://www.kidsnote.com/,labels,KidsNote,Senior
https://contents.nextunicorn.kr/company/716e55390c31c06b/profile-3280181420bd2bdea2e633e821b5afef25f7.png,Steaven3,medikim3553@gmail.com,010-6811-3553,Korean Jeju,1991-10-24,https://www.kidsnote.com/,labels,KidsNote,Senior
https://contents.nextunicorn.kr/company/716e55390c31c06b/profile-3280181420bd2bdea2e633e821b5afef25f8.png,Steaven4,medikim3554@gmail.com,010-6811-3554,Korean Jeju,1991-10-25,https://www.kidsnote.com/,labels,KidsNote,Senior
https://contents.nextunicorn.kr/company/716e55390c31c06b/profile-3280181420bd2bdea2e633e821b5afef25f9.png,Steaven5,medikim3555@gmail.com,010-6811-3555,Korean Jeju,1991-10-26,https://www.kidsnote.com/,labels,KidsNote,Senior
https://contents.nextunicorn.kr/company/716e55390c31c06b/profile-3280181420bd2bdea2e633e821b5afef25f10.png,Steaven6,medikim3556@gmail.com,010-6811-3556,Korean Jeju,1991-10-27,https://www.kidsnote.com/,labels,KidsNote,CEO
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRg4rQb1Tjr2KNSe5A2I5FegW2Vw-_kohEWINsmLYxD-w&s,Steaven7,medikim3557@gmail.com,010-6811-3557,America Arizona,1991-10-28,https://www.google.com/,labels,KidsNote,CEO
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRg4rQb1Tjr2KNSe5A2I5FegW3Vw-_kohEWINsmLYxD-w&s,Steaven8,medikim3558@gmail.com,010-6811-3558,America Arizona,1991-10-29,https://www.google.com/,labels,KidsNote,CEO
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRg4rQb1Tjr2KNSe5A2I5FegW4Vw-_kohEWINsmLYxD-w&s,Steaven9,medikim3559@gmail.com,010-6811-3559,America Arizona,1991-10-30,https://www.google.com/,labels,KidsNote,CTO
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRg4rQb1Tjr2KNSe5A2I5FegW5Vw-_kohEWINsmLYxD-w&s,Steaven10,medikim3560@gmail.com,010-6811-3560,America Arizona,1991-10-31,https://www.google.com/,labels,KidsNote,CFO
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRg4rQb1Tjr2KNSe5A2I5FegW6Vw-_kohEWINsmLYxD-w&s,Steaven11,medikim3561@gmail.com,010-6811-3561,America Arizona,1991-11-01,https://www.google.com/,labels,Google,Junior
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRg4rQb1Tjr2KNSe5A2I5FegW7Vw-_kohEWINsmLYxD-w&s,Steaven12,medikim3562@gmail.com,010-6811-3562,America Arizona,1991-11-02,https://www.google.com/,labels,Google,Junior
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRg4rQb1Tjr2KNSe5A2I5FegW8Vw-_kohEWINsmLYxD-w&s,Steaven13,medikim3563@gmail.com,010-6811-3563,America Arizona,1991-11-03,https://www.google.com/,labels,Google,Junior
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRg4rQb1Tjr2KNSe5A2I5FegW7Vw-_kohEWINsmLYxD-w&s,Steaven14,medikim3564@gmail.com,010-6811-3564,America Arizona,1991-11-04,https://www.amazon.com/,labels,Amazon,Junior
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRg4rQb1Tjr2KNSe5A2I5FegW7Vw-_kohEWINsmLYxD-w&s,Steaven15,medikim3565@gmail.com,010-6811-3565,America Arizona,1991-11-05,https://www.amazon.com/,labels,Amazon,Junior
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRg4rQb1Tjr2KNSe5A2I5FegW7Vw-_kohEWINsmLYxD-w&s,Steaven16,medikim3566@gmail.com,010-6811-3566,America Arizona,1991-11-06,https://www.amazon.com/,labels,Amazon,Junior
